latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
14.737,-91.564,305.8,2.3,1.5,2013-01-01,0722,Aqua,MODIS,61,6.1,286.4,34.5
13.87,-90.101,300.6,1.8,1.3,2013-01-01,0723,Aqua,MODIS,24,6.1,290,5.6
13.978,-91.278,326.8,1,1,2013-01-01,1647,Terra,MODIS,78,6.1,300.2,17.1
13.979,-91.287,348.2,1,1,2013-01-01,1647,Terra,MODIS,94,6.1,300.7,53.3
14.046,-91.184,315.4,1,1,2013-01-01,1647,Terra,MODIS,44,6.1,292.5,7.9
14.391,-91.448,316.1,1,1,2013-01-01,1647,Terra,MODIS,64,6.1,296.8,7.6
14.742,-91.571,314.6,1,1,2013-01-01,1647,Terra,MODIS,25,6.1,290.1,9.6
13.99,-90.452,321.9,1.1,1,2013-01-01,1647,Terra,MODIS,41,6.1,306.2,7.9
14.235,-91.151,320.3,1,1,2013-01-01,1647,Terra,MODIS,63,6.1,299.1,10.3
14.39,-91.439,315.1,1,1,2013-01-01,1647,Terra,MODIS,62,6.1,297.5,7
14.121,-90.95,316.1,1.1,1,2013-01-01,1647,Terra,MODIS,29,6.1,293.8,6.1
14.232,-91.191,342.3,1,1,2013-01-01,1647,Terra,MODIS,91,6.1,299.4,42.5
14.23,-91.181,326.5,1,1,2013-01-01,1647,Terra,MODIS,78,6.1,300.5,18.2
13.969,-91.279,328.4,1,1,2013-01-01,1647,Terra,MODIS,79,6.1,299.4,19.6
13.97,-91.289,342.7,1,1,2013-01-01,1647,Terra,MODIS,91,6.1,299.9,43.1
13.986,-91.112,322.3,1.7,1.3,2013-01-01,1952,Aqua,MODIS,74,6.1,295.8,28.8
14.049,-91.074,329.3,1,1,2013-01-03,0421,Terra,MODIS,100,6.1,293.1,28.5
14.051,-91.065,349.4,1,1,2013-01-03,0421,Terra,MODIS,100,6.1,294.1,63.1
15.742,-91.652,305.1,1,1,2013-01-03,0422,Terra,MODIS,63,6.1,287.1,8.7
13.986,-90.849,324.8,1.1,1,2013-01-03,1635,Terra,MODIS,69,6.1,305.8,12.3
14.019,-91.014,317,1.1,1,2013-01-03,1635,Terra,MODIS,51,6.1,303.2,8.9
